name,lon_deg,lat_deg,mag
Alkarab,1.975447,24.794908,4.42
Diphda,2.583480,-20.783529,2.04
Algenib,9.156044,12.599929,2.83
Alderamin,12.777807,68.913861,2.45
Alpheratz,14.308429,25.680463,2.07
Altais,17.161717,82.886420,3.07
Baten Kaitos,21.950099,-20.334557,3.74
Acamar,23.272354,-53.740182,2.88
Kurhah,24.219592,65.749324,4.26
Alpherg,26.815951,5.377663,3.62
82 G. Eri,27.220179,-58.110797,4.26
Torcular,27.743147,-1.620247,4.26
Alrescha,29.378667,-9.060855,3.82
Mirach,30.405146,25.943398,2.07
Mesarthim,33.184579,7.162391,3.88
Sheratan,33.969991,8.487259,2.64
Dalim,34.612129,-44.690807,3.80
Fulu,35.065207,44.719793,3.69
Caph,35.115878,51.215369,2.28
Alfirk,35.546281,71.152790,3.23
Mothallah,36.860892,16.800499,3.42
Hamal,37.662455,9.965126,2.01
Schedar,37.783619,46.622197,2.24
Titawin,38.550310,28.980272,4.10
Azha,38.749959,-24.546723,3.89
Kaffaljidhma,39.432920,-11.996126,3.47
Achird,40.245281,47.008488,3.46
Nembus,42.439864,35.414967,3.59
Cih,43.931101,48.814917,2.15
Almach,44.225376,27.806241,2.10
Menkar,44.320134,-12.585578,2.54
Ruchbah,47.929541,46.403668,2.66
Ran,48.167800,-27.715776,3.72
Bharani,48.203511,10.449700,3.61
Botein,50.853005,1.823955,4.35
Rana,50.862062,-28.676374,3.52
Zaurak,53.867501,-33.202133,2.97
Beemim,54.487117,-54.537631,3.97
Segin,54.763616,47.548240,3.35
Algol,56.167586,22.428529,2.09
Misam,57.691152,26.083018,3.79
Miram,58.701798,37.481875,3.77
Electra,59.411914,4.189842,3.72
Beid,59.432715,-27.453407,4.04
Taygeta,59.564679,4.518192,4.30
Maia,59.680366,4.390015,3.87
Merope,59.699287,3.955834,4.14
Theemin,59.885269,-51.817218,3.81
Alcyone,59.992393,4.050951,2.85
Errai,60.092980,64.669725,3.21
Keid,60.183272,-28.422314,4.43
Atlas,60.355909,3.917474,3.62
Atik,61.143218,12.184376,3.84
Mirfak,62.080908,30.125478,1.79
Menkib,64.972446,14.943842,3.98
Sceptrum,65.254360,-36.002581,3.86
Prima Hyadum,65.805753,-5.732259,3.65
