# >>> AUTO-GEN BEGIN: AE IAU Star Names (WGSN) v2024-03
# Derived from HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); official WGSN list as of 2023-03.
# Columns: name,hip,hr,ra_deg,dec_deg,notes
name,hip,hr,ra_deg,dec_deg,notes
268 G. Cet,12114,753,39.020355,6.886870,HD 16160; Gliese 105A; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
3C 273,60936,,187.277895,2.052398,Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
82 G. Eri,15510,1008,49.979160,-43.069784,HD 20794; Gliese 139; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
96 G. Psc,3765,222,12.095730,5.280615,HD 4628; Gliese 33; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Acamar,13847,897,44.565345,-40.304672,Bayer/Flamsteed The1Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Achernar,7588,472,24.428340,-57.236757,Bayer/Flamsteed Alp Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Achird,3821,219,12.273900,57.815187,Bayer/Flamsteed 24Eta Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Acrab,78820,5984,241.359300,-19.805453,Bayer/Flamsteed 8Bet1Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Acrux,60718,4730,186.649665,-63.099092,Bayer/Flamsteed Alp1Cru; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Acubens,44066,3572,134.621760,11.857701,Bayer/Flamsteed 65Alp Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Adhafera,50335,4031,154.172565,23.417311,Bayer/Flamsteed 36Zet Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Adhara,33579,2618,104.656455,-28.972084,Bayer/Flamsteed 21Eps CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Adhil,6411,390,20.585055,45.528778,Bayer/Flamsteed 46Xi  And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ain,20889,1409,67.154145,19.180431,Bayer/Flamsteed 74Eps Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ainalrami,92761,7116,283.542405,-22.744834,Bayer/Flamsteed 32Nu 1Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aiolos,53524,,164.262765,-68.667347,HD 95086; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aladfar,94481,7298,288.439530,39.145968,Bayer/Flamsteed 20Eta Lyr; Constellation Lyr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alasia,90004,,275.457435,-11.922683,HD 168746; Constellation Ser; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Albaldah,94141,7264,287.440965,-21.023615,Bayer/Flamsteed 41Pi  Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Albali,102618,7950,311.918970,-9.495776,Bayer/Flamsteed 2Eps Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Albireo,95947,7417,292.680345,27.959681,Bayer/Flamsteed 6Bet1Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alchiba,59199,4623,182.103375,-24.728875,Bayer/Flamsteed 1Alp Crv; Constellation Crv; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alcor,65477,5062,201.306195,54.987958,Bayer/Flamsteed 80    UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alcyone,17702,1165,56.871150,24.105137,Bayer/Flamsteed 25Eta Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aldebaran,21421,1457,68.980155,16.509301,Bayer/Flamsteed 87Alp Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alderamin,105199,8162,319.644450,62.585573,Bayer/Flamsteed 5Alp Cep; Constellation Cep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aldhanab,108085,8353,328.482120,-37.364852,Bayer/Flamsteed Gam Gru; Constellation Gru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
