planet,sign,dignity_type,sect,start_deg,end_deg,modifier,source
sun,leo,rulership,neutral,,,1.10,Skyscript Rulership Tables
moon,cancer,rulership,neutral,,,1.10,Skyscript Rulership Tables
mercury,gemini,rulership,neutral,,,1.10,Skyscript Rulership Tables
mercury,virgo,rulership,neutral,,,1.10,Skyscript Rulership Tables
venus,taurus,rulership,neutral,,,1.10,Skyscript Rulership Tables
venus,libra,rulership,neutral,,,1.10,Skyscript Rulership Tables
mars,aries,rulership,neutral,,,1.10,Skyscript Rulership Tables
mars,scorpio,rulership,neutral,,,1.10,Skyscript Rulership Tables
jupiter,sagittarius,rulership,neutral,,,1.10,Skyscript Rulership Tables
jupiter,pisces,rulership,neutral,,,1.10,Skyscript Rulership Tables
saturn,capricorn,rulership,neutral,,,1.10,Skyscript Rulership Tables
saturn,aquarius,rulership,neutral,,,1.10,Skyscript Rulership Tables
sun,aquarius,detriment,neutral,,,0.90,Skyscript Rulership Tables
sun,libra,detriment,neutral,,,0.90,Skyscript Rulership Tables
moon,capricorn,detriment,neutral,,,0.90,Skyscript Rulership Tables
moon,scorpio,detriment,neutral,,,0.90,Skyscript Rulership Tables
mercury,sagittarius,detriment,neutral,,,0.90,Skyscript Rulership Tables
mercury,pisces,detriment,neutral,,,0.90,Skyscript Rulership Tables
venus,aries,detriment,neutral,,,0.90,Skyscript Rulership Tables
venus,scorpio,detriment,neutral,,,0.90,Skyscript Rulership Tables
mars,taurus,detriment,neutral,,,0.90,Skyscript Rulership Tables
mars,libra,detriment,neutral,,,0.90,Skyscript Rulership Tables
jupiter,gemini,detriment,neutral,,,0.90,Skyscript Rulership Tables
jupiter,virgo,detriment,neutral,,,0.90,Skyscript Rulership Tables
saturn,cancer,detriment,neutral,,,0.90,Skyscript Rulership Tables
saturn,leo,detriment,neutral,,,0.90,Skyscript Rulership Tables
sun,aries,exaltation,neutral,,,1.05,Skyscript Essential Dignities
moon,taurus,exaltation,neutral,,,1.05,Skyscript Essential Dignities
mercury,virgo,exaltation,neutral,,,1.05,Skyscript Essential Dignities
venus,pisces,exaltation,neutral,,,1.05,Skyscript Essential Dignities
mars,capricorn,exaltation,neutral,,,1.05,Skyscript Essential Dignities
jupiter,cancer,exaltation,neutral,,,1.05,Skyscript Essential Dignities
saturn,libra,exaltation,neutral,,,1.05,Skyscript Essential Dignities
sun,libra,fall,neutral,,,0.90,Skyscript Essential Dignities
moon,scorpio,fall,neutral,,,0.90,Skyscript Essential Dignities
mercury,pisces,fall,neutral,,,0.90,Skyscript Essential Dignities
venus,virgo,fall,neutral,,,0.90,Skyscript Essential Dignities
mars,cancer,fall,neutral,,,0.90,Skyscript Essential Dignities
jupiter,capricorn,fall,neutral,,,0.90,Skyscript Essential Dignities
saturn,aries,fall,neutral,,,0.90,Skyscript Essential Dignities
