star_id,name,ra_deg,dec_deg,ecliptic_longitude_deg,ecliptic_latitude_deg,epoch,magnitude,orb_default_deg,orb_mag_le_1_deg,provenance
alkarab,Alkarab,351.344895,23.404101,1.975447,24.794908,J2000,4.42,0.333,0.1667,HIP 115623; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
diphda,Diphda,10.897350,-17.986605,2.583480,-20.783529,J2000,2.04,0.333,0.1667,HIP 3419; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
algenib,Algenib,3.308970,15.183596,9.156044,12.599929,J2000,2.83,0.333,0.1667,HIP 1067; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alderamin,Alderamin,319.644450,62.585573,12.777807,68.913861,J2000,2.45,0.333,0.1667,HIP 105199; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alpheratz,Alpheratz,2.096865,29.090432,14.308429,25.680463,J2000,2.07,0.333,0.1667,HIP 677; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
altais,Altais,288.138375,67.661541,17.161717,82.886420,J2000,3.07,0.333,0.1667,HIP 94376; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
baten_kaitos,Baten Kaitos,27.865140,-10.335038,21.950099,-20.334557,J2000,3.74,0.333,0.1667,HIP 8645; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
acamar,Acamar,44.565345,-40.304672,23.272354,-53.740182,J2000,2.88,0.333,0.1667,HIP 13847; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
kurhah,Kurhah,330.947025,64.627971,24.219592,65.749324,J2000,4.26,0.333,0.1667,HIP 108917; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alpherg,Alpherg,22.870875,15.345823,26.815951,5.377663,J2000,3.62,0.333,0.1667,HIP 7097; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
82_g._eri,82 G. Eri,49.979160,-43.069784,27.220179,-58.110797,J2000,4.26,0.333,0.1667,HIP 15510; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
torcular,Torcular,26.348460,9.157736,27.743147,-1.620247,J2000,4.26,0.333,0.1667,HIP 8198; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alrescha,Alrescha,30.511755,2.763759,29.378667,-9.060855,J2000,3.82,0.333,0.1667,HIP 9487; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mirach,Mirach,17.432910,35.620558,30.405146,25.943398,J2000,2.07,0.333,0.1667,HIP 5447; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
